Order ID,Customer ID,Order Date
10248,90,"July 4, 2021"
10249,81,"July 5, 2021"
10250,34,"July 8, 2021"
10251,84,"July 8, 2021"
10252,76,"July 9, 2021"
10253,34,"July 10, 2021"
10254,14,"July 11, 2021"
10255,68,"July 12, 2021"
10256,88,"July 15, 2021"
10257,35,"July 16, 2021"
10258,20,"July 17, 2021"
10259,13,"July 18, 2021"
10260,55,"July 19, 2021"
10261,61,"July 19, 2021"
10262,65,"July 22, 2021"
10263,20,"July 23, 2021"
10264,24,"July 24, 2021"
10265,7,"July 25, 2021"
10266,87,"July 26, 2021"
10267,25,"July 29, 2021"
10268,33,"July 30, 2021"
10269,89,"July 31, 2021"
10270,87,"August 1, 2021"
10271,75,"August 1, 2021"
10272,65,"August 2, 2021"
10273,63,"August 5, 2021"
10274,85,"August 6, 2021"
10275,49,"August 7, 2021"
10276,80,"August 8, 2021"
10277,52,"August 9, 2021"
10278,5,"August 12, 2021"
10279,44,"August 13, 2021"
10280,5,"August 14, 2021"
10281,69,"August 14, 2021"
10282,69,"August 15, 2021"
10283,46,"August 16, 2021"
10284,44,"August 19, 2021"
10285,63,"August 20, 2021"
10286,63,"August 21, 2021"
10287,67,"August 22, 2021"
10288,66,"August 23, 2021"
10289,11,"August 26, 2021"
10290,15,"August 27, 2021"
10291,61,"August 27, 2021"
10292,81,"August 28, 2021"
10293,80,"August 29, 2021"
10294,65,"August 30, 2021"
10295,85,"September 2, 2021"
10296,46,"September 3, 2021"
10297,7,"September 4, 2021"
10298,37,"September 5, 2021"
10299,67,"September 6, 2021"
10300,49,"September 9, 2021"
10301,86,"September 9, 2021"
10302,76,"September 10, 2021"
10303,30,"September 11, 2021"
10304,80,"September 12, 2021"
10305,55,"September 13, 2021"
10306,69,"September 16, 2021"
10307,48,"September 17, 2021"
10308,2,"September 18, 2021"
10309,37,"September 19, 2021"
10310,77,"September 20, 2021"
10311,18,"September 20, 2021"
10312,86,"September 23, 2021"
10313,63,"September 24, 2021"
10314,65,"September 25, 2021"
10315,38,"September 26, 2021"
10316,65,"September 27, 2021"
10317,48,"September 30, 2021"
10318,38,"October 1, 2021"
10319,80,"October 2, 2021"
10320,87,"October 3, 2021"
10321,38,"October 3, 2021"
10322,58,"October 4, 2021"
10323,39,"October 7, 2021"
10324,71,"October 8, 2021"
10325,39,"October 9, 2021"
10326,8,"October 10, 2021"
10327,24,"October 11, 2021"
10328,28,"October 14, 2021"
10329,75,"October 15, 2021"
10330,46,"October 16, 2021"
10331,9,"October 16, 2021"
10332,51,"October 17, 2021"
10333,87,"October 18, 2021"
10334,84,"October 21, 2021"
10335,37,"October 22, 2021"
10336,60,"October 23, 2021"
10337,25,"October 24, 2021"
10338,55,"October 25, 2021"
10339,51,"October 28, 2021"
10340,9,"October 29, 2021"
10341,73,"October 29, 2021"
10342,25,"October 30, 2021"
10343,44,"October 31, 2021"
10344,89,"November 1, 2021"
10345,63,"November 4, 2021"
10346,65,"November 5, 2021"
10347,21,"November 6, 2021"
10348,86,"November 7, 2021"
10349,75,"November 8, 2021"
10350,41,"November 11, 2021"
10351,20,"November 11, 2021"
10352,28,"November 12, 2021"
10353,59,"November 13, 2021"
10354,58,"November 14, 2021"
10355,4,"November 15, 2021"
10356,86,"November 18, 2021"
10357,46,"November 19, 2021"
10358,41,"November 20, 2021"
10359,72,"November 21, 2021"
10360,7,"November 22, 2021"
10361,63,"November 22, 2021"
10362,9,"November 25, 2021"
10363,17,"November 26, 2021"
10364,19,"November 26, 2021"
10365,3,"November 27, 2021"
10366,29,"November 28, 2021"
10367,83,"November 28, 2021"
10368,20,"November 29, 2021"
10369,75,"December 2, 2021"
10370,14,"December 3, 2021"
10371,41,"December 3, 2021"
10372,62,"December 4, 2021"
10373,37,"December 5, 2021"
10374,91,"December 5, 2021"
10375,36,"December 6, 2021"
10376,51,"December 9, 2021"
10377,72,"December 9, 2021"
10378,24,"December 10, 2021"
10379,61,"December 11, 2021"
10380,37,"December 12, 2021"
10381,46,"December 12, 2021"
10382,20,"December 13, 2021"
10383,4,"December 16, 2021"
10384,5,"December 16, 2021"
10385,75,"December 17, 2021"
10386,21,"December 18, 2021"
10387,70,"December 18, 2021"
10388,72,"December 19, 2021"
10389,10,"December 20, 2021"
10390,20,"December 23, 2021"
10391,17,"December 23, 2021"
10392,59,"December 24, 2021"
10393,71,"December 25, 2021"
10394,36,"December 25, 2021"
10395,35,"December 26, 2021"
10396,25,"December 27, 2021"
10397,60,"December 27, 2021"
10398,71,"December 30, 2021"
10399,83,"December 31, 2021"
10400,19,"January 1, 2022"
10401,65,"January 1, 2022"
10402,20,"January 2, 2022"
10403,20,"January 3, 2022"
10404,49,"January 3, 2022"
10405,47,"January 6, 2022"
10406,62,"January 7, 2022"
10407,56,"January 7, 2022"
10408,23,"January 8, 2022"
10409,54,"January 9, 2022"
10410,10,"January 10, 2022"
10411,10,"January 10, 2022"
10412,87,"January 13, 2022"
10413,41,"January 14, 2022"
